"estado";"lei";"desc";"link"
"Rio de Janeiro";"Lei Ordinária Nº 8806 de 7 de maio de 2020";"DISPÕE SOBRE A IMPLANTAÇÃO DE BARREIRAS SANITÁRIAS PERMANENTES NOS LOGRADOUROS DE ACESSO AO ESTADO DO RIO DE JANEIRO COM O OBJETIVO DE VERIFICAÇÃO COMPULSÓRIA DE PESSOAS CONTAMINADAS, DURANTE O PLANO DE CONTINGÊNCIA PARA COMBATE DA DOENÇA COVID-19, CAUSADA PELO NOVO CORONAVÍRUS.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8806-2020-rio-de-janeiro-dispoe-sobre-a-implantacao-de-barreiras-sanitarias-permanentes-nos-logradouros-de-acesso-ao-estado-do-rio-de-janeiro-com-o-objetivo-de-verificacao-compulsoria-de-pessoas-contaminadas-durante-o-plano-de-contingencia-para-combate-da-doenca-covid-19-causada-pelo-novo-coronavirus"
"Pará";"Lei Ordinária Nº 9051 de 7 de maio de 2020";"Proíbe a criação, a difusão, o compartilhamento virtual via internet de forma";"http://leisestaduais.com.br/pa/lei-ordinaria-n-9051-2020-para-proibe-a-criacao-a-difusao-o-compartilhamento-virtual-via-internet-de-forma"
"Mato Grosso do Sul";"Decreto Nº 15432 de 7 de maio de 2020";"Altera a redação do inciso III do art. 2º do Decreto nº 15.391, de 16 de março de 2020, que dispõe sobre as medidas temporárias a serem adotadas, no âmbito da Administração Pública do Estado de Mato Grosso do Sul, para a prevenção do contágio da doença COVID-19 e enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (SARS-CoV-2), no território sul-mato-grossense.";"http://leisestaduais.com.br/ms/decreto-n-15432-2020-mato-grosso-do-sul-altera-a-redacao-do-inciso-iii-do-art-2o-do-decreto-no-15-391-de-16-de-marco-de-2020-que-dispoe-sobre-as-medidas-temporarias-a-serem-adotadas-no-ambito-da-administracao-publica-do-estado-de-mato-grosso-do-sul-para-a-prevencao-do-contagio-da-doenca-covid-19-e-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-coronavirus-sars-cov-2-no-territorio-sul-mato-grossense"
"Mato Grosso do Sul";"Decreto Nº 15429 de 6 de maio de 2020";"Dispõe sobre a retomada da contagem dos prazos dos processos administrativos, no âmbito da Administração Pública Direta e Indireta do Poder Executivo do Estado de Mato Grosso do Sul, nos termos que específica.";"http://leisestaduais.com.br/ms/decreto-n-15429-2020-mato-grosso-do-sul-dispoe-sobre-a-retomada-da-contagem-dos-prazos-dos-processos-administrativos-no-ambito-da-administracao-publica-direta-e-indireta-do-poder-executivo-do-estado-de-mato-grosso-do-sul-nos-termos-que-especifica"
"Pernambuco";"Decreto Nº 49002 de 6 de maio de 2020";"Autoriza a contratação temporária de pessoal para, no âmbito da Secretaria de Saúde, atender à situação de excepcional interesse público.";"http://leisestaduais.com.br/pe/decreto-n-49002-2020-pernambuco-autoriza-a-contratacao-temporaria-de-pessoal-para-no-ambito-da-secretaria-de-saude-atender-a-situacao-de-excepcional-interesse-publico"
"Minas Gerais";"Decreto Nº 47940 de 6 de maio de 2020";"Estabelece prazo excepcional para o pagamento do IPVA, nas hipóteses que especifica, em razão da situação de emergência ou do estado de calamidade pública em decorrência da pandemia do Coronavírus - COVID-19.";"http://leisestaduais.com.br/mg/decreto-n-47940-2020-minas-gerais-estabelece-prazo-excepcional-para-o-pagamento-do-ipva-nas-hipoteses-que-especifica-em-razao-da-situacao-de-emergencia-ou-do-estado-de-calamidade-publica-em-decorrencia-da-pandemia-do-coronavirus-covid-19"
"Rondônia";"Decreto Nº 25008 de 6 de maio de 2020";"Regulamenta a transferência de recursos aos estudantes em situação de vulnerabilidade social matriculados na Rede Pública de Ensino do Estado de Rondônia, previstos na Lei nº 4.751, de 5 de maio de 2020.";"http://leisestaduais.com.br/ro/decreto-n-25008-2020-rondonia-regulamenta-a-transferencia-de-recursos-aos-estudantes-em-situacao-de-vulnerabilidade-social-matriculados-na-rede-publica-de-ensino-do-estado-de-rondonia-previstos-na-lei-no-4-751-de-5-de-maio-de-2020"
"Rio de Janeiro";"Decreto Nº 47063 de 6 de maio de 2020";"ALTERA DISPOSITIVOS DO DECRETO Nº 46.982, DE 20 DE MARÇO DE 2020, QUE DISPÕE SOBRE A PRORROGAÇÃO DO PRAZO PARA PAGAMENTO DE CRÉDITOS PARCELADOS INSCRITOS EM DÍVIDA ATIVA EM RAZÃO DA PANDEMIA DECORRENTE DO COVID-19 (CORONAVÍRUS).";"http://leisestaduais.com.br/rj/decreto-n-47063-2020-rio-de-janeiro-altera-dispositivos-do-decreto-no-46-982-de-20-de-marco-de-2020-que-dispoe-sobre-a-prorrogacao-do-prazo-para-pagamento-de-creditos-parcelados-inscritos-em-divida-ativa-em-razao-da-pandemia-decorrente-do-covid-19-coronavirus"
"Rio de Janeiro";"Lei Ordinária Nº 8804 de 6 de maio de 2020";"CONCEDE ISENÇÃO DO IMPOSTO SOBRE A TRANSMISSÃO CAUSA MORTIS E DOAÇÃO FINANCEIRA E DE QUAISQUER BENS OU DIREITOS (ITCMD), NA FORMA QUE ESPECIFICA.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8804-2020-rio-de-janeiro-concede-isencao-do-imposto-sobre-a-transmissao-causa-mortis-e-doacao-financeira-e-de-quaisquer-bens-ou-direitos-itcmd-na-forma-que-especifica"
"Pernambuco";"Decreto Nº 49001 de 6 de maio de 2020";"Altera o Decreto nº 48.832, de 19 de março de 2020, que define no âmbito socioeconômico medidas restritivas temporárias adicionais para enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus.";"http://leisestaduais.com.br/pe/decreto-n-49001-2020-pernambuco-altera-o-decreto-no-48-832-de-19-de-marco-de-2020-que-define-no-ambito-socioeconomico-medidas-restritivas-temporarias-adicionais-para-enfrentamento-da-emergencia-de-saude-publica-de-importancia-internacional-decorrente-do-coronavirus"
