"estado";"lei";"desc";"link";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"coduf";"UF"
"São Paulo";"Decreto Nº 65014 de 10 de junho de 2020";"Estende a medida de quarentena de que trata o Decreto nº 64.881, de 22 de março de 2020.";"http://leisestaduais.com.br/sp/decreto-n-65014-2020-sao-paulo-estende-a-medida-de-quarentena-de-que-trata-o-decreto-no-64-881-de-22-de-marco-de-2020";0;0;1;0;0;0;0;2020-06-10;35;"SP"
"Minas Gerais";"Lei Ordinária Nº 23656 de 10 de junho de 2020";"Acrescenta o § 2º ao art. 4º da Lei nº 23.631, de 2 de abril de 2020, que dispõe sobre a adoção de medidas para o enfrentamento do estado de calamidade pública decorrente da pandemia de Covid-19, causada por coronavírus.";"http://leisestaduais.com.br/mg/lei-ordinaria-n-23656-2020-minas-gerais-acrescenta-o-2o-ao-art-4o-da-lei-no-23-631-de-2-de-abril-de-2020-que-dispoe-sobre-a-adocao-de-medidas-para-o-enfrentamento-do-estado-de-calamidade-publica-decorrente-da-pandemia-de-covid-19-causada-por-coronavirus";1;0;0;0;0;0;0;2020-06-10;31;"MG"
"São Paulo";"Decreto Nº 65012 de 9 de junho de 2020";"Autoriza a Fazenda do Estado a outorgar o uso do imóvel que especifica à Associação para o Desenvolvimento de Serviços de Saúde - ASAS, e dá providências correlatas.";"http://leisestaduais.com.br/sp/decreto-n-65012-2020-sao-paulo-autoriza-a-fazenda-do-estado-a-outorgar-o-uso-do-imovel-que-especifica-a-associacao-para-o-desenvolvimento-de-servicos-de-saude-asas-e-da-providencias-correlatas";0;0;1;0;0;0;0;2020-06-09;35;"SP"
"Rio de Janeiro";"Lei Ordinária Nº 8888 de 9 de junho de 2020";"DISPÕE SOBRE A VEDAÇÃO DA APLICAÇÃO DE MULTA POR QUEBRA DE FIDELIDADE NOS SERVIÇOS DE TV POR ASSINATURA, TELEFONIA, INTERNET E SERVIÇOS ASSEMELHADOS, ENQUANTO PERDURAR A PANDEMIA DO CORONAVÍRUS (COVID-19), NO ESTADO DO RIO DE JANEIRO.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8888-2020-rio-de-janeiro-dispoe-sobre-a-vedacao-da-aplicacao-de-multa-por-quebra-de-fidelidade-nos-servicos-de-tv-por-assinatura-telefonia-internet-e-servicos-assemelhados-enquanto-perdurar-a-pandemia-do-coronavirus-covid-19-no-estado-do-rio-de-janeiro";1;0;0;0;0;0;0;2020-06-09;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8887 de 9 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A UTILIZAR RECURSOS PARA IMPLEMENTAR MEDIDAS DE INCENTIVO À CONVERSÃO PRODUTIVA DE EMPRESAS PARA PROTEÇÃO ECONÔMICA E SANITÁRIA À POPULAÇÃO FLUMINENSE.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8887-2020-rio-de-janeiro-autoriza-o-poder-executivo-a-utilizar-recursos-para-implementar-medidas-de-incentivo-a-conversao-produtiva-de-empresas-para-protecao-economica-e-sanitaria-a-populacao-fluminense";1;0;0;0;0;0;0;2020-06-09;33;"RJ"
"Rio de Janeiro";"Lei Ordinária Nº 8886 de 9 de junho de 2020";"DISPÕE SOBRE OS PROCEDIMENTOS ESPECIAIS APLICÁVEIS AOS TRABALHADORES DO SETOR OFFSHORE AFETADOS PELA PANDEMIA DO COVID-19, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8886-2020-rio-de-janeiro-dispoe-sobre-os-procedimentos-especiais-aplicaveis-aos-trabalhadores-do-setor-offshore-afetados-pela-pandemia-do-covid-19-e-da-outras-providencias";1;0;0;0;0;0;0;2020-06-09;33;"RJ"
"Rio Grande do Norte";"Lei Ordinária Nº 10727 de 9 de junho de 2020";"Suspende todos os prazos relativos aos concursos públicos, no âmbito do Estado do Rio Grande do";"http://leisestaduais.com.br/rn/lei-ordinaria-n-10727-2020-rio-grande-do-norte-suspende-todos-os-prazos-relativos-aos-concursos-publicos-no-ambito-do-estado-do-rio-grande-do";1;0;0;0;0;0;0;2020-06-09;24;"RN"
"Rio de Janeiro";"Lei Ordinária Nº 8889 de 9 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A CONCEDER ISENÇÃO DO IMPOSTO SOBRE OPERAÇÕES RELATIVAS À CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS - ICMS - NOS PRODUTOS QUE COMPÕEM A CESTA BÁSICA, NO ÂMBITO DO ESTADO DO RIO DE JANEIRO.";"http://leisestaduais.com.br/rj/lei-ordinaria-n-8889-2020-rio-de-janeiro-autoriza-o-poder-executivo-a-conceder-isencao-do-imposto-sobre-operacoes-relativas-a-circulacao-de-mercadorias-e-servicos-icms-nos-produtos-que-compoem-a-cesta-basica-no-ambito-do-estado-do-rio-de-janeiro";1;0;0;0;0;0;0;2020-06-09;33;"RJ"
"São Paulo";"Decreto Nº 65009 de 8 de junho de 2020";"Suspende o expediente das repartições públicas estaduais que especifica, nos dias 11 e 12 de junho de 2020, e dá providências correlatas.";"http://leisestaduais.com.br/sp/decreto-n-65009-2020-sao-paulo-suspende-o-expediente-das-reparticoes-publicas-estaduais-que-especifica-nos-dias-11-e-12-de-junho-de-2020-e-da-providencias-correlatas";0;0;1;0;0;0;0;2020-06-08;35;"SP"
"Rio Grande do Sul";"Decreto Nº 55298 de 7 de junho de 2020";"Determina a aplicação das medidas sanitárias segmentadas de que trata o art. 19 do Decreto nº 55.240, de 10 de maio de 2020, que institui o Sistema de Distanciamento Controlado para fins de prevenção e de enfrentamento à epidemia causada pelo novo Coronavírus (COVID-19) no âmbito do Estado do Rio Grande do Sul, reitera a declaração de estado de calamidade pública em todo o território estadual.";"http://leisestaduais.com.br/rs/decreto-n-55298-2020-rio-grande-do-sul-determina-a-aplicacao-das-medidas-sanitarias-segmentadas-de-que-trata-o-art-19-do-decreto-no-55-240-de-10-de-maio-de-2020-que-institui-o-sistema-de-distanciamento-controlado-para-fins-de-prevencao-e-de-enfrentamento-a-epidemia-causada-pelo-novo-coronavirus-covid-19-no-ambito-do-estado-do-rio-grande-do-sul-reitera-a-declaracao-de-estado-de-calamidade-publica-em-todo-o-territorio-estadual";0;0;1;0;0;0;0;2020-06-07;43;"RS"
