"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"Bom Jardim da Serra";"Lei Ordinária Nº 1386 de 31 de dezembro de 2020";"Autoriza o Executivo Municipal a firmar Convênio com o município de Lages para implantação de medidas ao enfrentamento do Coronavírus, cria Projeto Atividade e Dotação Orçamentária...";"http://leismunicipa.is/mgdey";"SC";1;0;0;0;0;0;0;2020-12-31;420250;4202503;42
"Curitibanos";"Lei Ordinária Nº 6281 de 10 de dezembro de 2020";"AUTORIZA O PODER EXECUTIVO MUNICIPAL A FIRMAR CONVÊNIO COM A FUNDAÇÃO HOSPITALAR DE CURITIBANOS.";"http://leismunicipa.is/vhswx";"SC";1;0;0;0;0;0;0;2020-12-10;420480;4204806;42
"Ibirapuitã";"Lei Ordinária Nº 2462 de 31 de julho de 2020";"Altera a Lei Municipal n.º 1.191/2005  que Reestrutura o Regime Próprio de Previdência  do Município  e dá outras providências  de que trata o art. 40 da Constituição da República ...";"http://leismunicipa.is/mjiyd";"RS";1;0;0;0;0;0;0;2020-07-31;430995;4309951;43
"Paiçandu";"Lei Ordinária Nº 2919 de 31 de julho de 2020";"SUMÚLA: Prorroga a vigência do Programa de Recuperação Fiscal (REFIS 2019) instituído pela Lei nº 2.859/2019.";"http://leismunicipa.is/yihod";"PR";1;0;0;0;0;0;0;2020-07-31;411750;4117503;41
"Pirapó";"Resolução de Mesa Legislativa Nº 2 de 30 de julho de 2020";"DISPÕE SOBRE A PRORROGAÇÃO DA VIGÊNCIA DA RESOLUÇÃO DA MESA DIRETORA N° 001/2020 E DÁ OUTRAS PROVIDÊNCIAS.";"http://leismunicipa.is/meyno";"RS";0;0;0;0;0;0;1;2020-07-30;431455;4314555;43
"Alto Feliz";"Decreto Nº 1801 de 30 de junho de 2020";"Prorroga as medidas de enfrentamento à pandemia causada pelo Coronavírus (COVID-19)  até 30 de junho de 2020  reiteradas pelo Decreto Municipal nº 1.798  de 15 de maio de 2020.";"http://leismunicipa.is/olgfy";"RS";0;0;1;0;0;0;0;2020-06-30;430057;4300570;43
"Xangri-lá";"Decreto Nº 61 de 12 de junho de 2020";"Altera os arts. 11, 30, 33 e 42 do Decreto nº 54, de 13 de maio de 2020 que ""Reitera o estado de calamidade pública e adere ao Sistema de Distanciamento Controlado decretado pelo E...";"http://leismunicipa.is/pjydh";"RS";0;0;1;0;0;0;0;2020-06-12;432380;4323804;43
"Esperança";"Decreto Nº 1982 de 12 de junho de 2020";"DECRETA LUTO OFICIAL PELO FALECIMENTO DO SENHOR MANUEL CÂMARA PIMENTA, EX-VEREADOR DO MUNICÍPIO DE ESPERANÇA/PB NA LEGISLATURA 1982-1988.";"http://leismunicipa.is/phjay";"PB";0;0;1;0;0;0;0;2020-06-12;250600;2506004;25
"Cotia";"Decreto Nº 8722 de 11 de junho de 2020";"Prorroga, até o dia 28 de junho de 2020, a suspensão do atendimento presencial ao público nos estabelecimentos comerciais prevista no artigo 2º do Decreto nº 8.686, de 20 de março ...";"http://leismunicipa.is/yephi";"SP";0;0;1;0;0;0;0;2020-06-11;351300;3513009;35
"Cotia";"Decreto Nº 8721 de 11 de junho de 2020";"Cria o <U+0093>PLANO RETOMA COTIA<U+0094> e dispõe sobre a adoção de medidas visando à retomada gradual de atividades e setores econômicos não essenciais, no âmbito do Município de Cotia.";"http://leismunicipa.is/pibfy";"SP";0;0;1;0;0;0;0;2020-06-11;351300;3513009;35
