"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"Taboão da Serra";"Decreto Nº 100 de 11 de junho de 2020";"Dispõe sobre a modificação dos códigos de aplicação que especifica, nos termos do Comunicado Audesp nº 28, de 02/04/2020, do Tribunal de Contas do Estado de São Paulo, para a corre...";"http://leismunicipa.is/eyphi";"SP";0;0;1;0;0;0;0;2020-06-11;355280;3552809;35
"Porto Alegre";"Ordem de Serviço Nº 3 de 10 de junho de 2020";"Estabelece procedimentos para tramitação das Requisições de Informações Comunitárias (RICs) que versem sobre políticas públicas e atos municipais de combate à pandemia decorrente d...";"http://leismunicipa.is/ypagj";"RS";0;0;0;0;0;0;0;2020-06-10;431490;4314902;43
"Niterói";"Lei Ordinária Nº 3512 de 10 de junho de 2020";"Cria rede de proteção aos colaboradores e beneficiários de projetos e contratos do Município de Niterói.";"http://leismunicipa.is/piyfg";"RJ";1;0;0;0;0;0;0;2020-06-10;330330;3303302;33
"Itapevi";"Decreto Nº 5548 de 10 de junho de 2020";"<U+0093>INSTITUI O PLANO <U+0093>REABRE ITAPEVI<U+0094>, VOLTADO À RETOMADA DAS ATIVIDADES ECONÔMICAS NO MUNICÍPIO APLICADO DURANTE A FLEXIBILIZAÇÃO DA QUARENTENA DECORRENTE DA PANDEMIA DO NOVO CORONAV...";"http://leismunicipa.is/ihpay";"SP";0;0;1;0;0;0;0;2020-06-10;352250;3522505;35
"Uberlândia";"Lei Ordinária Nº 13343 de 9 de junho de 2020";"AUTORIZA O PODER EXECUTIVO A ANTECIPAR FERIADO MUNICIPAL, POR DECRETO, DURANTE A ATUAL EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS";"http://leismunicipa.is/omnay";"MG";1;0;0;0;0;0;0;2020-06-09;317020;3170206;31
"Niterói";"Lei Ordinária Nº 3511 de 9 de junho de 2020";"Dispõe sobre a antecipação dos feriados em Niterói, por conta da epidemia do Covid-19.";"http://leismunicipa.is/ypfhg";"RJ";1;0;0;0;0;0;0;2020-06-09;330330;3303302;33
"Uberlândia";"Decreto Nº 18655 de 9 de junho de 2020";"ANTECIPA O FERIADO MUNICIPAL DEDICADO A NOSSA SENHORA DA ABADIA PARA O DIA 12 DE JUNHO DE 2020 E DÁ OUTRAS PROVIDÊNCIAS.";"http://leismunicipa.is/monay";"MG";0;0;1;0;0;0;0;2020-06-09;317020;3170206;31
"Patos de Minas";"Decreto Nº 4846 de 8 de junho de 2020";"Dispõe sobre medidas de racionalização para proteção à coletividade no enfrentamento da emergência de saúde pública decorrente do Coronavírus (COVID-19) no município de Patos de Mi...";"http://leismunicipa.is/yonme";"MG";0;0;1;0;0;0;0;2020-06-08;314800;3148004;31
"Florianópolis";"Decreto Nº 21635 de 8 de junho de 2020";"ALTERA O DECRETO Nº 21.569, DE 2020, QUE DISPÕE SOBRE MEDIDAS PARA ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DA INFECÇÃO HUMANA PELO NOVO...";"http://leismunicipa.is/cgydp";"SC";0;0;1;0;0;0;0;2020-06-08;420540;4205407;42
"Florianópolis";"Decreto Nº 21637 de 8 de junho de 2020";"DISPÕE SOBRE A PRORROGAÇÃO DOS PRAZOS REFERENTES AO SERVIÇO ESPECIAL DE TRANSPORTE ESCOLAR EM DECORRÊNCIA DA PANDEMIA RELACIONADA AO CORONAVÍRUS (COVID-19).";"http://leismunicipa.is/pcdyg";"SC";0;0;1;0;0;0;0;2020-06-08;420540;4205407;42
"São Paulo";"Decreto Nº 59498 de 8 de junho de 2020";"Confere nova redação ao artigo 13 e acresce o § 2º ao artigo 19, ambos do Decreto nº 59.283, de 16 de março de 2020, que declarou situação de emergência no Município de São Paulo e...";"http://leismunicipa.is/nyoel";"SP";0;0;1;0;0;0;0;2020-06-08;355030;3550308;35
"Santos";"Decreto Nº 8969 de 7 de junho de 2020";"DISPÕE SOBRE O FUNCIONAMENTO PARCIAL E CONDICIONADO DE ESTABELECIMENTOS COMERCIAIS E EMPRESARIAIS, PRESTADORES DE SERVIÇOS E OUTRAS ATIVIDADES NO MUNICÍPIO DE SANTOS, NOS CASOS E N...";"http://leismunicipa.is/moycl";"SP";0;0;1;0;0;0;0;2020-06-07;354850;3548500;35
"Patos de Minas";"Lei Complementar Nº 626 de 5 de junho de 2020";"Dispõe sobre procedimentos administrativos para fiscalização e inspeção sanitária durante a pandemia decorrente do Coronavírus (COVID-19) no Município de Patos de Minas.";"http://leismunicipa.is/ncofy";"MG";1;0;0;0;0;0;0;2020-06-05;314800;3148004;31
"Patos de Minas";"Decreto Nº 4845 de 5 de junho de 2020";"Dispõe sobre a instalação de pontos de fiscalização sanitária para evitar a propagação de infecção viral e preservar a saúde da população contra a doença provocada pelo Coronavírus...";"http://leismunicipa.is/oncfy";"MG";0;0;1;0;0;0;0;2020-06-05;314800;3148004;31
"Salvador";"Decreto Nº 32478 de 5 de junho de 2020";"Altera dispositivo do Decreto nº 32.461, de";"http://leismunicipa.is/moyan";"BA";0;0;1;0;0;0;0;2020-06-05;292740;2927408;29
"Niterói";"Decreto Nº 13625 de 5 de junho de 2020";"DISPÕE SOBRE O FECHAMENTO DE ACESSO ÀS PRAIAS DA REGIÃO OCEÂNICA COMO FORMA DE EVITAR A AGLOMERAÇÃO DE PESSOAS E EVITAR O CRESCIMENTO DOS CASOS DE CORNONAVÍRUS EM NITERÓI E DÁ OUTR...";"http://leismunicipa.is/bylom";"RJ";0;0;1;0;0;0;0;2020-06-05;330330;3303302;33
"Recife";"Portaria do Executivo Nº 1138 de 5 de junho de 2020";"--";"http://leismunicipa.is/lyion";"PE";0;0;0;0;0;1;0;2020-06-05;261160;2611606;26
"Salvador";"Decreto Nº 32482 de 5 de junho de 2020";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/ymoan";"BA";0;0;1;0;0;0;0;2020-06-05;292740;2927408;29
"São Bernardo do Campo";"Decreto Nº 21174 de 5 de junho de 2020";"Acrescentam os incisos XIX e XX e o anexo único ao Decreto nº 21.114, de 22 de março de 2020, e dá outras providências.";"http://leismunicipa.is/ylnoc";"SP";0;0;1;0;0;0;0;2020-06-05;354870;3548708;35
"Niterói";"Lei Ordinária Nº 3508 de 4 de junho de 2020";"Dispõe sobre a prorrogação do pagamento do benefício social emergencial previsto na Lei nº 3.477 de 24 de março 2020, por conta da epidemia de Coronavírus em Niterói.";"http://leismunicipa.is/byolm";"RJ";1;0;0;0;0;0;0;2020-06-04;330330;3303302;33
"São Bernardo do Campo";"Decreto Nº 21172 de 4 de junho de 2020";"Dispõe sobre suplementação de dotações orçamentárias.";"http://leismunicipa.is/nbmoy";"SP";0;0;1;0;0;0;0;2020-06-04;354870;3548708;35
"Uberaba";"Decreto Nº 5598 de 4 de junho de 2020";"Prorroga a vigência do Decreto Nº 5555/2020, que <U+0093>Impõe medidas a serem adotadas para enfrentamento da emergência em saúde pública de importância internacional decorrente do Corona...";"http://leismunicipa.is/gpcdy";"MG";0;0;1;0;0;0;0;2020-06-04;317010;3170107;31
"Florianópolis";"Decreto Nº 21627 de 4 de junho de 2020";"ALTERA DISPOSITIVOS DO DECRETO Nº 21.569, DE 2020, QUE CONSOLIDA AS MEDIDAS PARA ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DA INFECÇÃO HU...";"http://leismunicipa.is/cgdyp";"SC";0;0;1;0;0;0;0;2020-06-04;420540;4205407;42
"Niterói";"Lei Ordinária Nº 3507 de 4 de junho de 2020";"Cria o Programa Supera Mais no contexto das medidas para o enfrentamento econômico da epidemia da COVID-19, para possibilitar contratação de empresa operadora de crédito, para geri...";"http://leismunicipa.is/yomlc";"RJ";1;0;0;0;0;0;0;2020-06-04;330330;3303302;33
"Niterói";"Lei Ordinária Nº 3509 de 4 de junho de 2020";"Fica o Poder Executivo Autorizado a Manter Crédito Especial no valor de R$ 45.000.000,00 (quarenta e cinco milhões de reais), para Ações de Combate ao Covid-19.";"http://leismunicipa.is/myolc";"RJ";1;0;0;0;0;0;0;2020-06-04;330330;3303302;33
"Osasco";"Decreto Nº 12489 de 4 de junho de 2020";"Dispõe sobre a adoção de medidas excepcionais e temporárias às parcerias firmadas entre o Município e entidades privadas; bem como altera o Decreto nº 11.384, de 10 de novembro de ...";"http://leismunicipa.is/nbmyo";"SP";0;0;1;0;0;0;0;2020-06-04;353440;3534401;35
"Itapevi";"Decreto Nº 5547 de 4 de junho de 2020";"""DISPÕE SOBRE A CRIAÇÃO DE COMISSÃO ESPECÍFICA PARA AVALIAÇÃO, ESTUDOS E DEMAIS ATIVIDADES PERTINENTES AO PLANO REABRE ITAPEVI E DÁ OUTRAS PROVIDÊNCIAS.""";"http://leismunicipa.is/aipyb";"SP";0;0;1;0;0;0;0;2020-06-04;352250;3522505;35
"Niterói";"Decreto Nº 13624 de 4 de junho de 2020";"ALTERA O DECRETO Nº 13 .557/2020, QUE REGULAMENTA A LEI Nº 3.485/2020, QUE INSTITUI O PROGRAMA BUSCA ATIVA E DÁ OUTRAS PROVIDÊNCIAS.";"http://leismunicipa.is/mfyog";"RJ";0;0;1;0;0;0;0;2020-06-04;330330;3303302;33
"Salvador";"Decreto Nº 32470 de 4 de junho de 2020";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá out...";"http://leismunicipa.is/eypdi";"BA";0;0;1;0;0;0;0;2020-06-04;292740;2927408;29
"Santos";"Decreto Nº 8968 de 4 de junho de 2020";"ABRE CRÉDITO SUPLEMENTAR NA IMPORTÂNCIA DE R$ 6.293.917,18 (SEIS MILHÕES, DUZENTOS E NOVENTA E TRÊS MIL, NOVECENTOS E DEZESSETE REAIS E DEZOITO CENTAVOS) AUTORIZADO PELO ART. 5º, I...";"http://leismunicipa.is/mcyol";"SP";0;0;1;0;0;0;0;2020-06-04;354850;3548500;35
